"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","test update with data: case regular price update","chrome-parallel","2026-01-29","passed","2026-01-29","Update booking by id testing","","",""
"","287","test update with data: case update price successfully","chrome-parallel","2026-01-29","passed","2026-01-29","Update booking by id testing","","",""
"","219","Test get booking by id","chrome-parallel","2026-01-29","failed","2026-01-29","Get booking by id","","",""
"","230","Test authentication API with valid admin credentials","chrome-parallel","2026-01-29","passed","2026-01-29","Authentication testing","","",""
"","1471","Basic test 1 for UI","chrome-parallel","2026-01-29","passed","2026-01-29","basic HomePage testing","","",""
"","2542","test ui image comparison","chrome-parallel","2026-01-29","failed","2026-01-29","basic HomePage testing","","",""
"","60","Test update booking by id API mocking","chrome-parallel","2026-01-29","passed","2026-01-29","Update booking by id testing","","",""
